Video ID,Title,Channel,Channel Subscribers,View Count,Likes,Dislikes,Comment Count,Published Date,Duration
PnsLmp3H4Y8,12 more hostages released by Hamas,NBC News,9330000,1071,15,0,15,2023-11-29T00:30:11Z,247
aPBJTe-RVfo,"‘Absolutely essential’ that ceasefire continues, says daughter of hostage released by Hamas",NBC News,9330000,1252,26,0,18,2023-11-28T23:00:01Z,343
BL7avbCtfg4,Bennet: ‘Israel should meet … high standard’ for protecting civilians during war,NBC News,9330000,958,18,0,43,2023-11-28T22:30:44Z,431
dP3hTQ1q5T0,BREAKING: Video shows released Hamas hostages leaving Gaza,NBC News,9330000,10112,105,2,56,2023-11-28T21:25:54Z,57
VkN1ysw_h28,Hamas releases 12 more hostages as cease-fire extends,NBC News,9330000,5414,71,0,30,2023-11-28T21:00:11Z,191
_i3O405Jdgc,'A very high price': Palestinians consider the cost of prisoners freed by Israel,NBC News,9330000,6593,70,0,89,2023-11-28T12:30:18Z,81
Yx2ToGCon7c,N.Y. high school students protest teacher's pro-Israel stance,NBC News,9330000,23895,270,20,653,2023-11-28T04:30:12Z,187
zcs4N9dO8R4,Palestinian prisoners reunite with family members amid temporary cease-fire,NBC News,9330000,512465,1618,2923,2550,2023-11-28T04:15:02Z,188
XaAgnfQnHkE,Suspect arraigned in shooting of three students of Palestinian descent in Vermont,NBC News,9330000,21893,159,4,284,2023-11-28T01:00:20Z,205
kxUy6lLmEyc,Inside hostages’ 49 days of captivity while being held by Hamas,NBC News,9330000,38739,440,97,165,2023-11-28T00:45:02Z,197
N6j2ARZWJFY,"11 more hostages released, Hamas and Israel agree to extend truce at least two more days",NBC News,9330000,14230,103,0,72,2023-11-28T00:30:12Z,239
QUY90ilnnYc,"Blinken will travel to Israel, West Bank, this week",NBC News,9330000,2473,29,0,41,2023-11-27T23:30:05Z,136
RPq_MEQIpgc,Medical evals; family reunions; IDF interviews: What happens to hostages after release from Hamas,NBC News,9330000,21680,133,4,98,2023-11-27T22:30:05Z,246
tSP3zz0l8sU,Elon Musk meets with Netanyahu in Israel,NBC News,9330000,54872,403,721,444,2023-11-27T22:00:21Z,157
