Video ID,Title,Channel,Channel Subscribers,View Count,Likes,Dislikes,Comments,Comment Count,Published Date,Duration,Category
TQLnBdEUGjM,Palestinians Celebrate Destroyed Israel-Gaza Border Fence | VOA News,Voice of America,2930000,133197,944,144,"['Allahuboooombar', 'Short lived celebration, eh??', 'Yes and they are not responsible and don&#39;t support the Hamas attacks.  I&#39;m sure lots of Palestinians in Gaza are innocent and don&#39;t support Hamas,  Sadly it seems many do.', 'now they crying 😅', 'அல்லாஹ் அக்பர்🔥', 'Israel border protection is top notch', 'hey are not celebrating anymore allah wakbar', 'Are they still celebrating?😂', 'rock apes', '🤮🤮🤮', 'Oh, all these innocent victims of Hamas... Sure...', 'Wars are fought for a reason and they stop for a reason', 'And people think they&#39;re innocent', '10 days later and they are crying', 'They will feel Israel’s wrath', 'Are they celebrating now? But Israel getting blamed for war crimes? What? Are you serious?', 'From the river to the sea,palestine will be free❤', 'From the river to the sea,palestine will be free❤', 'Allah hu AKBAR ❤', 'They don&#39;t look like terrorists to me it&#39;s just normal people']",416,2023-10-08T00:02:47Z,42,News & Politics
qcy4X6Om-qM,Biden: 'We Have Israel’s Back' After Weekend Terror Attacks | VOANews,Voice of America,2930000,116255,506,1885,"['God bless President Biden.', 'Obama and Biden are from a certain breed of tiger called, Paper Tigers.', 'WHAT BRANDON IS DESCRIBING IS WHAT HE CAUSED TO HAPPEN<br>BY<br>SENDING BILLIONS OF DOLLARS <br>TO ONE OUR WORST ENEMIES ......................IRAN<br>HE ALWAYS JUST LIKE WITH COVID - <br>ACTS LIKE HE IS INNOCENT<br> WHEN HE IS BEHIND THE CAUSE OF IT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!<br>HE AND HIS PUPPETEER O<br>HE WILL FIND OUT ONE DAY THERE IS A GOD<br>ALL OF THEM WILL AND THEY WILL ANSWER ULTIMATELY TO GOD<br>JUST THE TRUTH', 'Rachel Corrie, a young American peace activist, was brutally and cold-bloodedly killed by a Russian-born Israeli soldier. He ran her over with a bulldozer. Rachel was only 23 years old. For some reason, the American President did not take any action regarding this act of terrorism. One may wonder, why....', 'اين ينصرني اين نستيحتي  في الدولتي انقطاع الحقوق محفوظة كل شيء  أنا  آسف', 'The Bidens better stock up some “soap on a rope”', 'Get ready to send half a trillion in freshly printed US dollars', 'joke administration', 'what do we ever do to help the people of Palestine who have endured decades of suffering and persecution on their own land?', 'It&#39;s indeed frustrating to witness the United States, often seen as a global mediator and advocate for justice, making statements that are perceived as one-sided in the Israeli-Palestinian conflict. The speech by President Joe Biden, focusing heavily on condemning Hamas and expressing unwavering support for Israel, without proportionately addressing the civilian casualties and suffering on the Palestinian side. While it&#39;s crucial to condemn acts of violence and terrorism by any group, it&#39;s equally important to acknowledge the plight and suffering of innocent civilians, regardless of their nationality or ethnicity. The conflict has led to immense loss of life and displacement on both sides, and it&#39;s disheartening that the emphasis in the statement seems tilted towards one party, failing to address the broader humanitarian concerns especially cutting food, electricity, water to Palestinians.\r<br>\r<br>The delivery of military equipment and the deployment of a carrier strike group to support Israel further fuel the perception of the U.S. taking a one-sided approach. The scale and nature of this military support raise questions about the objectivity and neutrality of the United States in facilitating a peaceful resolution to the conflict. Acts of violence and terrorism by any party should be unequivocally condemned. Both Israel and Palestine should take measures to prevent attacks against civilians and work towards a lasting peace. It&#39;s essential to hold individuals accountable for acts of terror and uphold the principles of justice and human rights.\r<br>\r<br>Peace. No war!', 'BIDEN PROMISES SUPPORT<br>BUT HE ONLY DELIVERS FAILURE', 'Yeah you have no ones back besides you son and your self', 'Joe Biden founded this Evil Act..', 'Joe Biden founded this Evil Act..', 'This guy is despicable.', 'Lies!', '.', 'Ligliy officale showe compition untrnitionale disitiin  firest fore years showe hiding no saudi  name  even presdent biden twomorowe biden <br>Worde time  jorrnniy online atted foces no this familiy side  even jorrnniy showe hidding dufferent Bereed only Amrican cantery  no  wife and haseband jorrnniy foces only jorrnniy and fore jorrnniy familiy  different Bereed only Amrican ligliy disition no only foces ligliy over over disition cetestnia officale presnale  Amrican life <br>Disition firest fire years so this time  effucet or over over dates up two dates disition no including  cerestnua name jorrnniy and fore jorrnniy familiy Amrican lufe visa', 'Ahh fuck israel', 'Thanks for supporting Israel🇮🇱 above everything America 🇺🇲💪']",1526,2023-10-11T00:55:55Z,210,News & Politics
GRwh0hrvgvo,Heartbreak as Civilians Slaughtered on Both Sides in Israel-Gaza Conflict | VOANews,Voice of America,2930000,2855,93,0,"['🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸✊✊✊✊✊✊✌️✌️✌️', 'And when will the israeli regime take responsibility for the brutal murder of Palestinian-American journalist Shireen Abu Akleh, who was shot in the head by an israeli soldier? Probably never... This is not normal!', 'Shame on those who like war for benefit', 'What are the chances this time for a truce? On the scale of 1 to 10.', 'Only one or the other will remain. Palestine chose their path towards destruction. Be done with it.', 'Isreal is bombing innocent people in buildings just as Russia is doing in Ukraine.', 'Civilian being executed at home and being bombed in reason of targeted terrorists hiding behind them is big different.', 'Lord be with them all', 'This is tragic for everyone.  Death and loss are the same on both sides of this conflict.', 'This comment section goes to show what this society wants and echoes.', 'Israel doesn&#39;t slaughter people. Only evil animals do.', 'The captives will all be murdered by the terrorists.', 'There are no civilians in Gaza. Thats the first lesson you must understand! Even the children who start off innocent are soon turned into older savages! Gazians support terror, there is no 2 ways about it!  Itssad but true, no one in Gaza is innocent!! You are blinded.', 'I don&#39;t have any empathy to Palestines, just as I have no empathy to Germany&amp; Japan&#39;s in WW2', 'Denounce both of these useless religions', 'Israel says we will cease fire and Palestinians shoots missiles into residential areas. <br><br>The only way you are going to solve this problem is with complete extermination. Israel wants to be left alone while the Palestinians are literally murdering children. Targeting children.', 'Armageddon.', 'This is a boil that needs to be removed from Israel borders', 'PalestinAns slaughtered seventy years ago and still']",33,2023-10-10T22:19:37Z,117,News & Politics
6fqq1GsO4zg,US Delivers Armored Jeeps to Israel  | VOA News,Voice of America,2930000,284293,1586,3018,"['Yaninda peynirli  sucuklu tost  da yollsdaydıniz  aç kalmasin', 'Keske  burada hamburger coca satsaydim  YA  DA  İSKENDER  ĎÖNER  NE  SATILIR  BE  ISTANBULLU   IZMIRLI ADANALI YAHUDILER  ÇOK IYI  BILIR  ESKİŞEHIRN DE   BURSADA  BEKERECIYİ  BILMEYEN  YOKTUR  DÖNER ZATEN ISKENDER YENIR', 'NE BU YA HU  YENİ  GELININ  ÇEYIZ DUZMESI  KLOZET  KAPAGI  VARSA  ONUDA  YOLLAYIN', 'In 90s my dad bought a Willy Wrangler left from U.S military in the region. It was from ww2. I dont know how these jeeps were comming to Iran. Funny fact is that usa leaves its jeepes all over the world since ww2 till now.', 'Palestinians will be the winners and owners of the holy land to all muslims, insha Allah.', 'Allah give our Palestinians strength and we are making dua&#39;s for you our Palestinians<br>We will rise our voices for you where we can<br>In Sha Allah you will win and Al-Aqsa will be safe', '<a href=""http://www.youtube.com/results?search_query=%23standwithpalestine"">#standwithpalestine</a>', '<a href=""http://www.youtube.com/results?search_query=%23standwithpalestine"">#standwithpalestine</a>', '<a href=""http://www.youtube.com/results?search_query=%23standwithhumanity"">#standwithhumanity</a>', '<a href=""http://www.youtube.com/results?search_query=%23standwithpalestine"">#standwithpalestine</a>', 'Why us sending jeeps only to israel?<br>What a favourism', 'Stop doing this <a href=""http://www.youtube.com/results?search_query=%23standwithpalestine"">#standwithpalestine</a>', 'Lahaina, Maui, Flint, Michigan, Palestine, Ohio, Kensington, PA..........', 'Yet our schools, streets and everything else in American is literally falling apart.', 'How can the United States NOT be involved in the war but supplying WAR equipment to FIGHT the war?', '👅', 'Like Tupac said( They Have Money For Wars But Cant Feed The Poor).', 'Money kaskada', 'Bayad kaskada']",1519,2023-10-19T20:00:01Z,47,News & Politics
RZ3lpZcPn1I,Pro-Palestinian Protesters Target US Embassy in Beirut | VOANews,Voice of America,2930000,116287,502,239,"['If America truly loves Jews, they should be rehabilitated in America. Because is a very big country. In this way, it is better to live in peace in America than to live in turmoil with the fear of life in Palestine.', 'Israel want you to see it as super man but it&#39;s homelander', 'Israel want you to see it as super man but it&#39;s homelander', 'The hatred from the media and disgusting people is so great that you forget that many small children die. RIP justice...', 'America is real butcher of ghaza', 'Saya doakan zionis israel hancur', 'America yg bikin ricuh huh', 'Islam is true religion in the world', 'We need peace in this world.', 'Now it seems the explosion was not from Israel. But who cares I guess', 'Are the Zionist the chosen one? Yes indeed….they have been chosen by satan. Zionist are worshipper of satan. What kind of god tell his worshippers they are the chosen one &amp; they can walk the earth arrogantly &amp; oppress others, torture others, kill others, demolished hospitals, mosques, schools without any guilt &amp; remorse. Yes don’t be surprised everyone if they are incapable of humanity &amp; thrive on the suffering of others for decades …. Yes decades….Not from last week, last month, last year …DECADES! Yes simply because Zionist are the followers if satan &amp; satan is in their blood. Unfortunately the satanic organisation are flourishing and being supported by stupid Americans &amp; most of the EU countries. Supporting billions of dollars if tax moneys so that the Zionist can loaded themselves with weapons to blow up innocent man, women &amp; children. Their sin is your sin, their guilt is your guilt. Remember this …always look over your shoulder… who’s gonna kidnap you next, who’s gonna kill you next, who’s gonna bomb you next, who’s gonna destroy you next… Zionist Israhell Laknatullah and its allies will never live in peace. You’ll be hunted by your own evil &amp; sin', 'Morons.', 'America is a terrorist country, the king of the east will be destroyed by Russia and China', 'America is a terrorist country, the king of the east will be destroyed by Russia and China', 'what if Ukraine is muslim country', '<b>WHILE THEIR RELATIVES SAFELY PROTEST IN AMERICA! SHAME!</b>', 'Yes bias media say Hamas do not just that but they can say pig do it and nobody blame israhell🇮🇱💩💩💩🐷', 'Our hearts with Palestina❤❤❤ Kazakhstan', 'attack n victim cards', 'Naku jan kayo magaling.. ang inaatake nyo ung alam nyong hindi lalaban..kapag gumanti magmamakaawa din kayo..... hayy buhay...']",805,2023-10-18T21:22:48Z,95,News & Politics
jwvsrybklf8,Hamas leader's son who became a spy explains what Hamas really wants,CNN,15700000,962330,17105,4373,"['The current brainwashed generation all over the world should accept this interview and stop supporting terrorist.', 'Fake Israel, you are the Antichrist movement. You will answer to The True King of Israel. The one you deny. He will say unto you. I never knew you.', 'He says that he sided with Israel because of the brutality of Hamas. If he is so sensitive about brutality, how can he support Israel? Are the State of Israel and its soldiers very merciful?\r<br>I don&#39;t know what Hamas is going through inside him, but I can say that he is talking nonsense because his hatred for Hamas has blinded his mind, or he is talking like this because he has chosen a spineless and characterless life for his worldly well-being. No one with even an iota of compassion can approve of what Israel has done in the past and now.', 'this guy is yapping. israel started this war PERIOD', 'The fact that he became an israeli spy makes me even dont want to hear him....his information has made over 8k innocent people dead', '🙏🙏🙏❤️❤️❤️', 'we want to believe this person is on the level that good will triumph in the end like an one adam 12 episode<br>however this idealism in no way mirrors reality', 'the more power we give american cops on the streets and judges in the seats the more they will abuse it', 'we see an accelerating trend towards a new way of seeing the world, running into the wall of an absolutely explosive conflict with cultural ramifications that spread around the entire world, dragging in Jews, Christians, and Muslims, potentially threatening major transportation routes. All this is extremely polarizing and disruptive on many levels.\r<br>\r<br>With that background, what do you think happened with the Hamas attack on October 7?', 'it’s a mission to free Palestinian people from Hamas religious brutal power ..he is 💯 correct … Middle East countries like Egypt 🇪🇬 Jordan 🇯🇴 Saudi Arabia 🇸🇦 should come on board and help Palestine women children to enter their countries .. egypt could do more but they don’t want to do more !!!', 'Judas', 'No matter what they want, there is no justification for what Hamas did. I pray for a peaceful settlement in Gaza. It may take time, but God&#39;s time in unlike hours. But time will come when Israel will give up Gaza when they trust that the Palestinians do not pose a threat to their national security. For the time being, Hamas not shown any signs that they could be trusted. Many Palestinians would rather live their daily lives in peace. Hamas, however, has different ideas, politicizing and mobilizing many Palestinians to hate Israel in the name of their homeland. The bitter truth is Gaza was lost territory to Israel in war, and therefore, occupied. The Palestinians should negotiate no matter the cost. Hamas cannot want what they want through terror.  THERE IS NO JUSTIFICATION FOR TERROR, VIOLENCE even in wars of liberation.', 'BS news!!🤭🤣🤣', 'Liar, his father got arrested by isareli police, when he tried to save his father, he got arrested and tortured when he was a teenager by israeli police for a long period, then they suggested to him to be a part of the israeli mossad and he accepted. He is an israeli informer, what else do you expect from him 🤮', 'I can confirm this is horse shit']",6740,2023-10-23T23:25:03Z,519,News & Politics
a34zpFaoBoM,Putin breaks silence on Hamas attack on Israel,CNN,15700000,2784072,17803,11411,"['Israel and the US drives more support to Hamas than any radical Islamic preacher ever could', 'What  about the 4k+ innocent Palestinian children Israel and the US have killed? CNN why are you only reporting for these evil Zionist?', 'isn’t Russia losing a war that they started? he should worry about that.', 'Why Putin shows no sympathy to Israel ? Are you stupid ? Do you know how many muslims in Russia? He is a smart politician,besides Israel have not supported Russia too on Ukraine war .', 'This shameless israeli Zionists is not saying how much they get from USA taxpayers to their criminal activities, before accusing Iran.', 'Today the death count for Palestine is nearly at 10 thousand in that’s about 1 thousand people dead every day and Hamas are the terrorists?', 'For once in a Very Long time, CNN does a Fair Interview! Kuddos to this News Reporter!', 'Shame on you with your fake tears. I wish to see your crying for 5000 killed babies in Gaza. Where is your  humanity? Oh yeah, may be you are run by AI! But wait you weeped on CNN for only Isreali victims. Shame on you CNN.', 'How about the failure of the whole wrold your all fucking up be adults enough with these child antics', 'This paid media like CNN and FOX News ,, they think we&#39;re really stupid and do not understand what&#39;s going on. If Putin is displaying power show in Ukrain, that&#39;s what Israel has been doing since decades, Israel butchered their kids, women and oldies and one retaliation made them shit their pants. Why Israel&#39;s power show is right &amp; justifying and Putin&#39;s not??? Double Standards. If only the surrounding muslim nations had a spine! Alas !!!', 'Propaganda  no1 cnn', 'Yes prickface the terrorists are animals NOT the civilians <br>Why are people not getting this', 'Israel is a Nazi state created by Nazi Germany, all the evidence is well documented. The nationalism party along with the Zionist political movement gave birth to the Nazi Germany in 1933. Now they will never retreat, they did holocaust their own relatives to punish the remaining disobedient jews and imagine what they been doing to all pacific palestinians, only because they are evil. They planned all the false flag operations like the implosion of the world trade. Before a war they create the justification.', 'Babies tied and killed lol...<br>This is exact the same words they said about Ukrainian kids...<br>Exact the same lie exact the same strategy for propoganda...', 'Putin does not show sympathy for two reasons...<br>First: Israel punished Palestine civillians with airstrikes for actions of the terroristic group called Hamas...<br>Why civillians? They has nothing to do with it...<br>Second: Israely special service agents work in Ukraine against Russia while being in good terms with Russia... and on top of that you acting like a victim and expect sympathy?...they be moving like rats...🤔', 'CNN stop making the Israelis the victim <br>People are much more aware these days ,and they do not buy your lies anymore .<br><br>You guys at CNN better tell the truth , or before you know it ,,no one would believe you anymore .<br><br>Israel government is the most criminal and child killer government on earth .<br><br>God bless the Israelis that are against their own government for killing innocent people <br><br>Netanyahu is a criminal and must be put in jail 🙏🙏🙏😢😢😢😢', 'Putin blaming America for everything… now that’s new lol 🤷\u200d♂️', 'I was for ukraine in their war against russia, but now i see i was wrong! The US and Ukraine don’t care about anyone but themselves which is absolutely sad! This Zelensky is just as corrupt as the people he’s trying to stop! <br><br>After the Hamas/Israeli conflict my eyes are now open! The united states only cares about its own ally’s innocent civilians instead of ALL civilians. Every American politician has condemned then killing and slaughter of Ukrainian civilians, but doesn’t care about the loss of innocent Palestinian lives! The US actually wants it to continue since they backed the refusal of a cease-fire! As a Palestinian American I’m absolutely shocked at the hypocrisy… This whole time I was on Ukraine’s side but now I see the truth! <br><br>Israel invaded Palestine back in 1948 but the US or Europe never condemned it. Russia invades Ukraine, yet the US condemns it! Putin is right, this unrest in the middle east is most definitely the US’s own doing! The US only takes one side and that’s the Israeli’s side, yet thebUS constantly says they want a two state solution which is utter bs because they’ve allowed thousands of israeli illegal settlements and has done absolutely nothing!!! Shame on the US and everyone else who supports this apartheid!', 'October 7th was like watching a person who bought a pet lion and all of a sudden that lion eats the owner.<br>Do you feel bad for the owner? Hard to when it’s stupid to cage a wild animal and not expect that animal to fight back.<br>Sorry but I can’t respect weakness. And it is dumb to support Israel knowing how  that Government is built on destitution of millions of Palestinians who were stripped away from their homes, and the blood of Palestinian children.<br>So no I don’t feel bad for those people on October 7. What I do feel is pity. Pity because you must be so stupid to think it is ok to live in a country like Israel in the first place being a Jew and knowing how awful your government is to your gentile brothers and sisters. Nuff said']",13742,2023-10-11T01:52:46Z,423,News & Politics
hjFeFIG4bks,Retired colonel explains how Hamas caught Israel off-guard during attack,CNN,15700000,586255,4417,900,"['✓ I believe we are meant to be like Jesus in our hearts and not in our flesh. But be careful of AI (Artificial Intelligence), for it is just our flesh and that is it. It knows only things of the flesh (our fleshly desires) and cannot comprehend things of the spirit such as peace of heart (which comes from obeying God&#39;s Word). Whereas we are a spirit and we have a soul but live in the body (in the flesh). When you go to bed it is your flesh that sleeps but your spirit never sleeps (otherwise you have died physically) that is why you have dreams. More so, true love that endures and last is a thing of the heart (when I say &#39;heart&#39;, I mean &#39;spirit&#39;). But fake love, pretentious love, love with expectations, love for classic reasons, love for material reasons and love for selfish reasons that is a thing of our flesh. In the beginning God said let us make man in our own image, according to our likeness. Take note, God is Spirit and God is Love. As Love He is the source of it. We also know that God is Omnipotent, for He creates out of nothing and He has no beginning and has no end. That means, our love is but a shadow of God&#39;s Love. True love looks around to see who is in need of your help, your smile, your possessions, your money, your strength, your quality time. Love forgives and forgets. Love wants for others what it wants for itself. Take note, love works in conjunction with other spiritual forces such as faith and patience. We should let the Word of God be the standard of our lives not AI. If not, God will let us face AI on our own and it will cast the truth down to the ground, it will be the cause of so much destruction like never seen before, it will deceive many and take many captive in order to enslave them into worshipping it and abiding in lawlessness. We can only destroy ourselves but with God all things are possible. God knows us better because He is our Creater and He knows our beginning and our end. Our prove text is taken from the book of John 5:31-44, 2 Thessalonians 2:1-12, Daniel 7-9, Revelation 13-15, Matthew 24-25 and Luke 21. Let us watch and pray... God bless you as you share this message to others.', 'The coming years will reveal to you that the terrorist ISIS is a foreign body to Arabs and Muslims. It is a British film and the producer is American, to keep Bashar al-Assad in the pig’s seat.', 'The timing of the supposedly unprovoked and unexpected attack is very suspicious as it happened right after Iran and Saudi Arabia restored relations, joined BRICS and improved co-operation with China and Russia. I guess some people thought it is time to redesign the map of the Middle East quick before things get out of control.', 'Fence around Gaza is one of the most aggressively patrolled surveilled and defended borders on Earth. People and even children who get too close are routinely SHOT by snipers. Anything in the air is watched and tracked. Balloons approaching the wall are brought down by snipers. Somehow 700 riflemen crossed the fence, many of them on huge noisy paragliders and allowed to run amok for HOURS within miles of armed IDF garrisons? If you aren&#39;t highly suspicious of this story then you are extraordinarily bad at being suspicious. Because it is ABSURD. Naturally most people who watch this can only notice this guy says &quot;ummmm&quot; a lot. You know what rhymes with ummm?....DUMB.', '😂ALLEGEDLY: &quot;NO THANKS, AND, THANKS&quot;, TO ONE VERSION, OF MY PROLIFIC DAD, WHOM READ THE UNITED STATES NEWSPAPER WANT ADDS, TO READ THE VOLITIONING MRS. RIÇHTER WANT, TO BREED, OUT, OF WEDLOCK, BECAUSE HER HUSBAND HAD NIL MONEY. DAD ANSWERED THE ADVERTISEMENT, TO BECOME COAXED, INTO THE VOLITIONING MRS. RICHTER &quot;BEDROOM FANTASY&quot;, THE JAIL CELL, WHERE BYE THE DESPOTIC BRECK COPS REGIMES BEAT DAD, PILLAGED DAD, ”SET IN MOTION THE FLESHPRODUCTING&quot;, OF DAD, TO RISE THE VOLITIONING MRS. RICHTER, INTO THE LEADER, OF INTERPOL, THE g VOLITION......GOT IT: &quot;THE BID.&#39; S ISRAEL FUNDS AMOUNT, TO BUY THE &quot;BULLS&quot;, RAISED HUMAN HOSTAGES, TO BECOME FLESHPRODUCTS, VIA, THE FUNDED', 'If Israel wasn’t caught off guard would it have achieved such global support?? And as a  consequence is it not fair to say that this war against them an us may be more decisive for the sake of free world stability?', 'Something isnt right here. The hostage who was released said they had warning. They burned down the feilds two weeks prior. What took so long to rescue and respond Oct 7th? The goverment official who was asked to resign for his statement. Surely im not the only one here', 'Why is nobody talking about this.  Netenyahu had been found guilty of corruption and faced prison, he was attempting to change Israhells constitution to avoid jail and remove power from the judiciary. Massive protest ensued for 29 consecutive days with as many as 160,000 Israelis present including politicians and judges. Israhell was on the verge of revolution, every body was pissed of with Netinyahoo. <br>What Homas did saved his arse. Egypt warned Israhell what Homas was about to do and they ignored the warning, The Massacre was all over social media in real time but it took the army 6 hours to respond. <br>Homas early on had only one gun but Israhell built them up to compete with Yasser Arafat whom they eventually assassinated with radiation, once Homas were elected they cancelled elections, Homas has just saved Netenyahus political career at the expense of Palestinian civilians, woman, children and babies. Who do they really work for..', 'Because half of Mossad was up in UKRAINE pushing that war.   It came back on them.  ... KARMA is a kosher wild animal isn&#39;t it?', 'I keep trying, again and again, to understand the phrase &#39;Terrorist&#39; that you attach to the Palestinian people and/or their organizations. My question is, do you understand or at least find out what the definition of the word &#39;terrorist&#39; is? Or are you speaking out of self-justification without knowing the rules of the word? Because in every conflict, human common sense will definitely see it from various sides, right?', 'Nazi propaganda of the CNN.', 'I wouldn’t call intelligence then 😂', 'Fake news !!', 'Israel do worst criminal act in human history- kill children, kill woman, bomb hospital, kill journalist, kill civilian-support from bad country &amp; bad people....UN, EURO, human right group, The Hague?', 'The Israeli military will lower their standards so they can have more women in combat roles they can have women officers that&#39;s the problem', 'I think the Israelis or waiting because they&#39;re wanting the American Military to go in with them', 'The Palestinian people are not innocent victims they voted for the pla to be their government', 'They lowered their standards over the past 20 years to accommodate female soldiers and female intelligence agencies', 'David grush with a voice changer and a mask', 'this was a set up from the start this is the beginning of the end for the jews world wide and i have NO SYMPANTHY FOR ANY OFF THEM']",2996,2023-10-08T13:00:35Z,409,News & Politics
OlOdM-qPCUI,Queen Rania: There's a 'glaring double standard' in how world treats Palestinians,CNN,15700000,649247,15608,2983,"['A bit rich for her to speak of a double standard considering how Palestinians are treated in Jordan.', 'Double standard queen. She is a lier why they allow American solders to pass', 'Choosing everyday people on both sides. Is there a flag for a movement like that?. I would like to buy a flag like that.', 'I&#39;m sorry,  you ain&#39;t no  queen and your addiction to historical revisionism won&#39;t fly with anyone who knows the truth,  you just ain&#39;t got it.', 'She is right.  I am horrified right now to watch what is happening, and to hear no outcry for peace.', 'I admire you dear Queen Raina. Thank you for sharing your feelings and honest opinion about the war.', 'Both sides are to blame.  But I have little sympathy for a religion stuck in the fourth century that executes gays, treats women like second class citizens, and the females dress with their faces and bodies covered like coffins.', 'Queeennnnn❤❤', 'Islam condemns killing of civilian but not the killing if the Jews of Israel. Highest stupidity!', 'Did she like selfies of Palestinian Arabs with raped, naked bodies of Jewish girls that Palestinian Arabs shared on a social media?', 'This lady is blind, if you start a war, the other side can finish it. Hammas started this, now you want Israel to stop? When Japan started bombing the USA in Pearl Harbor, the USA had the right to finish the war and drop 2 atomic bombs. Israel is defending itself. Im not taking sides, Hispanic guy here.', 'Queen spoke not about... Hamas', 'Yass Queen!👸🏻', 'It’s so clear!!!<br>Queen Rania putted in the right words!!!<br>It’s a conflict that has been going on for years and to start destroying Gaza and its people because what Hamas did it’s not the human thing to do!!!<br>Enough killing and torturing of innocent people!!!<br>For God’s sake, can we use our rational mind and common sense instead of brutality!!!<br>The leaders are not dying, they are not suffering!!!', 'The reporter clearly was bias in her interview. Respect Queen Rania. Very calm , educated, well spoken and knowledgeable of the past and present situation that has persisted over seven decades.', '1500 years before the birth of Christ the Jews settled in the area now known as Gaza. Let&#39;s please drop the &quot;occupier&quot; claim against Israel, they have every right to be where they are.']",9234,2023-10-24T19:42:42Z,660,News & Politics
3YborCsNNTo,CNN reporter takes a look inside Gaza hospitals 'on the brink of collapse',CNN,15700000,85858,1387,542,"['Always knew Cindy Mccain was a good one', 'People were celebrating watched it on live news, saw this coming. Sad', 'Stop this .<br>Hamas did that is their fault ….', 'Imagine if tomorrow Muslims would say that the Koran (holy book of the Muslims) states that the USA is the country of the Muslims.  And so every American must leave their home immediately, so a Muslim could live in it and own forever. Well this is what happened in 1948 (establishment of the state of Israel). Jews have invaded Palestine to turn it into the state of Israel because it is written in their religious book “the Thora” that Palestine is the holy land of the Jews. <br><br> Because your religious book (Torah, of the Jews) states that Palestine is the land of the Jews, Palestinians had to leave their homes.  It&#39;s crazy that people can defend the Israelis.<br><br>In 1900, only 3% of Palestine was Jewish.<br><br> Then, during WWI, the British and the French (then colonizers of Palestine) made a deal with the US.  The British and French suffered heavy losses against the German and Ottoman Empires.  So the Treaty of Balfourt was signed in 1917. In exchange for creating Israel (in Palestine! and remove Muslims and Christians from their houses!), the US would help the British and French militarily (which led to the French and British winning the war in 1918).<br><br> Then, after the Second World War, Europe feels guilty about the Holocaust and wants to give the Jews their own country.  And so they are going to give the state of Palestine to the Jews.<br><br> Sorry but this is bizarre.  Because Germany feels, are you giving away someone else&#39;s house??  No, no… You just have to give away something that is yours.  I&#39;m not going to give away my neighbor&#39;s house because I did something wrong. Why should the Palestinians the price of the holocaust when they had no part in it at all??', 'Comments that really explain the situation in Gaza get removed here… Shame on you CNN! Freedom of press doesn’t count for Palestinians.', 'At least CNN (not often) is showing both sides, unlike FOX. Channel 4 (British Broadcasting Network) is consistent in showing what is happening on both sides.', 'Black lives do not matter just Arab Palestinians FAIRFIELD, Conn. (Dec. 8, 2021) —\xa0More than 260,000 children aged under five may have died from extreme hunger or related diseases in East Africa since the start of the year, according to new analysis by Save the Children.\xa0 <a href=""https://www.youtube.com/watch?v=3YborCsNNTo&amp;t=0m25s"">0:25</a>', 'Jewish folks are the new nazis🤣🥊', 'Do yourself a huge favor and take a look at the Zionist charter that was drafted by Zionist at the turn of the century in Basal Switzerland. It does not mince words, a &quot;how to&quot; by force, terror, terrorism to cleans Palestine of Palestinians for Zionist colonization &amp; settlement of Palestine. Get a clue people!', '<a href=""https://youtu.be/ZcvkdVJ_skQ?si=J_vpUgs0uFMyl2eR"">https://youtu.be/ZcvkdVJ_skQ?si=J_vpUgs0uFMyl2eR</a>', '<a href=""https://youtu.be/3ZRkX2pV04M?si=OnhG3_GrdVAvwYKJ"">https://youtu.be/3ZRkX2pV04M?si=OnhG3_GrdVAvwYKJ</a>', '德國企業是否還要不要臉，來挺以色列持續轟炸加薩地區，聯合國181號決議因同情猶太人被納碎希特勒大量殺害，而同意在巴勒斯坦地區建國，而後來以色列人大量違法佔領巴勒斯坦人土地，並大量殺害巴勒斯坦人，巴勒斯坦人等於是替德國人還債，還有臉出來挺以色列，應該是替巴勒斯坦人發聲，請求停止轟炸加薩地區*', 'Nobody will have trust on CNN..fake news', 'I dont understand why?', 'Did you know that America and Europe are sons of bitches who support homosexuality and indecency, man to man, and criminalize raising the Palestinian flag 🇵🇸 or supporting the Palestinian cause? The meaning is that they support immorality, prostitutes and prostitutes, and stand against the truth and against common sense. They change everything for the worse, but their end is near. Injustice, disbelief and immorality will not continue.', 'When will Americans realize that Zionism is the Deep State and that the Muslims alone are fighting this satanic/Pedophile Cult', 'Brig. Gen. Yitzhak Segev, who was the Israeli military governor in Gaza in the early 1980s. Segev later told a New York Times reporter that he had helped finance the Palestinian Islamist movement Hamas as a “counterweight” to the secularists and leftists of the Palestine Liberation Organization and the Fatah party, led by Yasser Arafat (who himself referred to Hamas as “a creature of Israel.”)<br>Netanyahu opposed the Oslo peace talks at their inception, and as prime minister in the late 1990s so consistently reneged on commitments made by his predecessors that U.S. envoy Dennis Ross later noted that “neither President Clinton nor Secretary Albright believed that Bibi had any real interest in pursuing peace.”<br>Sources: The Intercept, Daily Beast ✌💖💕 GOD Bless Everyone 💕💖✌', 'Turkey is bravely flying in aid also.', 'Do they have to kill Israeli civilians to ask for aids  we want to hear more about the children, mothers grandmothers babies fathers an the young men killed in the streets of Israel by Hammas', 'This are the people they say are god chosen one']",895,2023-10-21T20:02:49Z,652,News & Politics
